part_id,part_name,qty,make_or_buy,material,finished_size,finished_size_mm,rough_size,handed,joinery,sheet,notes
P-001L,"Side panel, drive (left)",1,MAKE,Baltic birch plywood,"30"" × 22"" × 0.75""",762 × 559 × 19 mm,"30.25"" × 22.125"" × 0.75""",LEFT-HAND,J-001 housed stretchers; J-002 way rebate; through holes for bearings,D2_frame.svg,"Stack-drill with P-001R as a pair, then split for inner-face work."
P-001R,"Side panel, idler (right)",1,MAKE,Baltic birch plywood,"30"" × 22"" × 0.75""",762 × 559 × 19 mm,"30.25"" × 22.125"" × 0.75""",RIGHT-HAND / MIRROR,J-001; J-002; idler flange on axial-float slots J-007,D2_frame.svg,Identical hole pattern to L after stack-drill. Ways and dados on inner face only.
P-002,Base deck,1,MAKE,Baltic birch plywood,"18"" × 22"" × 0.75""",457 × 559 × 19 mm,"18.5"" × 22.125"" × 0.75""",IDENTICAL,J-010 screws up into sides,D2_frame.svg,Width follows ply_actual so 18 mm BB still keeps 16.5″ clear.
P-003,Stretcher,3,MAKE,Baltic birch plywood,"17"" × 4"" × 0.75""",432 × 102 × 19 mm,"17.5"" × 4.125"" × 0.75""",IDENTICAL,J-001 ¼″ housing in sides + #8 × 2″ through-screws,D2_frame.svg,Do not use stretchers as the table datum — ways are the datum.
P-004,Table torsion-box skin,2,MAKE,Baltic birch plywood,"16"" × 22"" × 0.75""",406 × 559 × 19 mm,"16.5"" × 22.125"" × 0.75""",IDENTICAL,J-003 continuous glue to P-005,D7_geometry.svg,
P-005,Torsion-box ribs,8,MAKE,Baltic birch or MDF,"15.5"" × 1.25"" × 0.5""",394 × 32 × 13 mm,"16"" × 2"" × 0.5""",IDENTICAL,J-003,D7_geometry.svg,Qty is typical for 4″ o.c. in 22″ depth; cut from offcuts.
P-006,Table wear face,1,MAKE,Phenolic sheet or MIC-6 / cast tooling plate,"16"" × 22"" × 0.5""",406 × 559 × 13 mm,"16.5"" × 22.125"" × 0.5""",IDENTICAL,"J-004 bond, replaceable",D7_geometry.svg,This is the inspection plane. Keep a spare.
P-007,UHMW way,2,MAKE,UHMW-PE,"22"" × 0.75"" × 0.75""",559 × 19 × 19 mm,"22.5"" × 0.875"" × 0.75""",IDENTICAL,J-002 rebate + glue; optional #8 flush screws from outer face,D2_frame.svg,Projects 0.230″ past inner face. Rebate 0.520″.
P-008,"Drum disc, core",19,MAKE,MDF,"5.125"" × 5.125"" × 0.75""",130 × 130 × 19 mm,"5.625"" × 5.25"" × 0.75""",IDENTICAL,J-005 pack-bore + piano-wire keys; 1 mm relief every 4,D3_drum.svg,
P-009,"Drum disc, end",2,MAKE,Baltic birch plywood,"5.125"" × 5.125"" × 0.75""",130 × 130 × 19 mm,"5.625"" × 5.25"" × 0.75""",IDENTICAL,J-005,D3_drum.svg,BB ends resist crushing at the flanges.
P-010,Drum shaft,1,BUY-CUT,Precision-ground CRS / TG&P,"22.5"" × 0.75"" × 0.75""",572 × 19 × 19 mm,"23"" × 0.875"" × 0.75""",IDENTICAL,J-005 discs; J-006 fixed drive flange; J-007 floating idler,D3_drum.svg,"Precision-ground CRS or TG&P, ¾″, 0.0005″ TIR"
P-011,Dust hood blank,1,MAKE,Birch or pine plywood,"18"" × 12"" × 0.25""",457 × 305 × 6 mm,"18.5"" × 12.125"" × 0.25""",IDENTICAL,Friction on sides; paraffin at paint rubs,D5_hood.svg,"Kerf-bent ¼″ pine/birch ply, sawdust-glue filled"
P-012,Motor pivot cradle,1,MAKE,Baltic birch plywood,"12"" × 8"" × 0.75""",305 × 203 × 19 mm,"12.5"" × 8.125"" × 0.75""",IDENTICAL,J-008 ¼-20 T-nuts,D4_drive.svg,
P-013,Full-width truing sled,1,MAKE,MDF or Baltic birch,"16"" × 8"" × 0.75""",406 × 203 × 19 mm,"16.5"" × 8.125"" × 0.75""",IDENTICAL,none — fixture,D8_holddowns.svg,As wide as the drum so you cannot dish the middle.
P-014,Hold-down roller yoke,2,MAKE,Hardwood or 1½″ aluminum angle,"18"" × 3"" × 0.75""",457 × 76 × 19 mm,"18.5"" × 3.125"" × 0.75""",IDENTICAL,J-009 shoulder bolts + springs,D8_holddowns.svg,Board feet net 0.56; buy with 30% waste.
P-015,Disc pack-bore jig,1,MAKE,MDF,"12"" × 12"" × 0.75""",305 × 305 × 19 mm,"12.5"" × 12.125"" × 0.75""",IDENTICAL,none,D3_drum.svg,
P-016,Acme bronze nut block,2,MAKE,Hardwood or aluminum + bronze nut,"2.5"" × 2"" × 1.5""",64 × 51 × 38 mm,"3"" × 2.125"" × 1.5""",IDENTICAL,J-011 nut to table,D7_geometry.svg,
