PURCHASE,QTY,NOTE
4x6x8,6,from nest + explicit waste_factor on bf
4x6x16,2,from nest + explicit waste_factor on bf
2x4x10,2,from nest + explicit waste_factor on bf
2x12x10,1,from nest + explicit waste_factor on bf
2x12x12,1,from nest + explicit waste_factor on bf
1x4x8,12,from nest + explicit waste_factor on bf
1x4x12,1,from nest + explicit waste_factor on bf
2x6x8,5,from nest + explicit waste_factor on bf
2x2x8,3,from nest + explicit waste_factor on bf
2x4x8,2,from nest + explicit waste_factor on bf
oak_1x4x4,2,from nest + explicit waste_factor on bf
